id,business_id,name,stars,review_count,postal_code,latitude,longtitude,is_open,comp_stars,comp_review_count,total_demand_score,missing_demand_score
57333,IkY2ticzHEn4QFn8hQLSWg,Geno's Steaks,2.5,3401,19147,39.933836785,-75.1588137524,t,2.5320886814469078,3428,18003,10101
46924,-QI8Qi8XWH3D8y8ethnajA,Philadelphia International Airport - PHL,2.5,2149,19153,39.8730739955,-75.2432488754,t,2.5583892617449664,2235,63089,7724
113984,PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,3,4250,19147,39.9332010583,-75.159265814,t,3.2401583973911018,4293,19824,6253
116496,J8S7cPPlTgsQnXKVfTyN8g,PYT,3,806,19123,39.9665050097,-75.1391493002,f,2.9988249118683901,851,8418,4082
120679,1cncsHKApeW1ubd5d9HoJw,Hop Sing Laundromat,4,898,19107,39.9555142,-75.1569404,t,3.7850971922246220,926,9997,2834
53453,sTPueJEwcRDj7ZJmG7okYA,Jim's South St,3.5,2736,19147,39.941498,-75.149272,t,3.7435897435897436,2769,12754,2672
140863,LM4-MPJIIwQlpBVZuzbJxg,Stock,4,304,19125,39.9696821256,-75.1314063513,f,3.8793650793650794,315,3361,2097
60029,Cjwb7VQGP0u2eWYj1wnO3g,Vango Lounge & Skybar,2,357,19103,39.9511992,-75.1706583,t,2.0161290322580645,372,2631,2005
68762,gY4kIh8f9uCk-XI0FPH1fg,US Airways,1.5,395,19153,39.8732279267,-75.2447390798,f,1.5049751243781095,402,4459,1964
131671,9PZxjhTIU7OgPIzuGi89Ew,El Vez,4,3187,19107,39.9497020026,-75.1617702842,t,3.9653799019607843,3264,12137,1932
144129,aunmz06iWvo3bd6MMHEbqg,Rivers Casino Philadelphia,2,297,19125,39.9643365308,-75.1335456091,t,2.0638977635782748,313,3259,1932
36747,RQAF6a0akMiot5lZZnMNNw,Dalessandro’s Steaks & Hoagies,4,2686,19128,40.029494,-75.2059714,t,4.2069724770642202,2725,11959,1920
52996,AGlh4ZDv6jnoiYfz7At9mw,Dim Sum Garden,4,2672,19107,39.955399,-75.156727,t,3.8844492440604752,2778,13558,1919
54523,cdrMvOVFFBSwYHb3s06U9w,Septa 5th Street Station,2,250,19107,39.95068409,-75.1491018757,t,2.0922509225092251,271,2801,1890
113142,IWHdx0NhDKADkGOgXgOFKQ,Tommy DiNic's,4,2221,19147,39.95347837,-75.1593960603,t,4.0636971046770601,2245,11720,1804
143441,jkGQQ4_LgJx3hwPtCFkzbQ,Max Brenner - Philadelphia,3.5,1358,19102,39.9491000076,-75.1661748827,t,3.3589001447178003,1382,6624,1734
84979,WxB8498ejPtHE7wFa89_fA,The Continental Mid-town,3.5,1682,19103,39.9519308,-75.1704529,t,3.6882217090069284,1732,7706,1628
138235,OdIBX09glfXNVSyd0RnIeg,Monk's Cafe,4,2184,19102,39.947701,-75.1682869,t,4.0133868808567604,2241,10587,1566
20079,j-qtdD55OLfSqfsWuQTDJg,Parc,4,2761,19103,39.9491724,-75.1707273,t,4.1466712898751734,2884,12400,1564
116058,uJZgom8HpK74xz8IojpT0A,Pizzeria Beddia,4,599,19122,39.970799,-75.134989433,t,4.1760000000000000,625,4294,1546
94133,Oh3Q3QfhMl2DArFiLUrT9Q,La Fourno Ristorante Trattoria,4,273,19147,39.942059,-75.153412,f,4.0543478260869565,276,2211,1530
120195,6zEWIsb6Lhr3BeoC3gm1lw,Chickie's and Pete's,2.5,787,19153,39.8774228729,-75.2405207186,t,2.5488721804511278,798,4611,1511
149326,0RuvlgTnKFbX3IK0ZOOocA,Green Eggs Café,4,2679,19107,39.9481225533,-75.1624631121,t,4.0157336260519576,2733,9867,1500
63266,q-zV08jt6U-q05SMEuQJAQ,The Original Tony Lukes,4,1910,19148,39.9141065086,-75.1487272304,t,3.8780737704918033,1952,9585,1475
10603,LbhHgTK94bFKIq4owlS9NA,Tower Place,3.5,48,19130,39.9625311867,-75.1611845741,t,3.5714285714285714,63,2393,1379
17362,X_OnAUXVGHjyWP9zoPVLTA,Megabus,2,415,19104,39.9583587,-75.1953934,t,2.2281105990783410,434,2307,1277
66828,gOrJeoLDOiW7muWuoE-sMg,Morgan's Pier,3,710,19123,39.9549030181,-75.1389125268,t,3.0593922651933702,724,4025,1265
97611,8pqdJjefYq-a9IBSJJmKwA,The Dandelion,4,2497,19103,39.951004,-75.170636,t,4.2145906092355452,2577,10942,1227
87697,jHZS9GIhW7s9r4w5w-0A0Q,Darling's Diner,2.5,401,19123,39.9675198,-75.13981,f,2.4316037735849057,424,2347,1218
144566,BE7efGAH9Eb2aGbMGFfgQQ,The Gallery At Market East,2,134,19107,39.9516327,-75.1557451,f,1.9117647058823529,136,2611,1217
115978,AnRagaVBS-KkftZX8oewdA,Philadelphia Parking Authority,1.5,117,19107,39.9526515,-75.1552577,t,1.3307692307692308,130,1336,1183
41413,FZixbNAPJsQzCsXkEx9oGA,PMC Property Group,2,158,19103,39.9496794,-75.1681091,t,2.0869565217391304,161,,1179
10347,JUlsvVAvZvGHWFfkKm0nlg,El Camino Real,3.5,1014,19123,39.9673004,-75.1403984,t,3.3584729981378026,1074,5562,1174
8317,d_tRshM-w6S4QxE4VVi8tQ,Jones,3.5,1141,19106,39.9493144,-75.1525254,f,3.6626712328767123,1168,5117,1169
64929,6ajnOk0GcY9xbb5Ocaw8Gw,Barbuzzo,4.5,2893,19107,39.950007,-75.1621577,t,4.2669804976462677,2974,11930,1167
65343,g2zwbLIqxtN9nGGuL43trg,Pizza Brain,4,575,19125,39.9806746,-75.1280968,t,3.8152542372881356,590,3822,1152
147512,qQO7ErS_RAN4Vs1uX0L55Q,The Franklin Fountain,4,2062,19106,39.9495617,-75.1428765,t,4.1476190476190476,2100,11552,1129
56739,ZKPrXH_GNW_AtZ31tP3NmA,White Dog Cafe,4,1301,19104,39.9535582,-75.1929054,t,3.7875841436050860,1337,5414,1121
112390,2YyIIdwnYv5cApn1gZo_gw,Field House,2.5,491,19107,39.952616,-75.159445,f,2.6414342629482072,502,2846,1109
